Unnamed: 0,Tweets,ID,Sentiment
61,"@JoeBiden Great.

Can you please STOP saying ""no impeachment""

HE HAS TO GO NOW.",1347483837333438470,1
62,RT @goldnugget7: @tribelaw @JoeBiden Joe has made lots of wise decisions in his cabinet picks. Lots of vetting &amp; balancing of multiple fact…,1347483836007936000,1
64,"@KamalaHarris @JoeBiden Bimbo, start with the clintons",1347483834242134021,0
65,"@JoeBiden He won't do it, unfortunately 😔   The turmoil continues",1347483832665169920,-1
66,@JoeBiden #LaptopHunter had been investigated? Any result?,1347483828344901633,0
67,@Infinite_Ennui @JoeBiden And what makes this unarmed white trump supporter any different than all of the other whi… https://t.co/rBnWcrtZLA,1347483828001140739,-1
68,RT @sanchezcastejon: The US Congress ratifies the victory of @JoeBiden after a fateful day. Yesterday's attack on Capitol Hill has only suc…,1347483827632041989,0
69,"@sharksfan9771 @JoeBiden Don’t be   You’ll be great! San Jose, right?",1347483820354904066,1
70,@newtgingrich Don’t worry @newtgingrich your old friend @JoeBiden will have this sorted in no time,1347483818547048450,1
71,@JoeBiden See how you divide the leaders away from the people why didn’t you celebrate with your supporters where w… https://t.co/ClCygHXcuW,1347483811915862016,0
74,RT @JoeBiden: I call on President Trump to go on national television now to fulfill his oath and defend the Constitution by demanding an en…,1347483808157851648,0
75,"RT @namataik_: @VP Mike Pence is the VP of the USA and when he saw that Trump had gone crazy, he stood not with Trump of the Republicans. H…",1347483808140910594,-1
76,I hope the next US administration takes action against these right winged Orange Saffron Anti-societal elements.… https://t.co/mU9WtcHAgM,1347483806127812608,1
78,"RT @JoeBiden: What we witnessed yesterday was not dissent — it was disorder. 

They weren’t protestors — they were rioters, insurrectionist…",1347483800637476864,0
79,"RT @W7VOA: #January6th was ""one of the darkest days in the history of our nation,"" says @JoeBiden. ""It was chaos. They weren't protestors.…",1347483792315858952,0
80,Whatsup with THE WALL☺@joeBiden @realDonaldTrump,1347483792160788480,0
81,RT @JoeBiden: I’m proud to nominate Judge Merrick Garland for Attorney General of the United States. https://t.co/xBR5PAN2wH,1347483790734667778,1
82,@sammmm79533765 @kayleighmcenany You mean @JoeBiden who can’t put a coherent thought together?,1347483790281760768,1
83,@JoeBiden @bfry1981 Thank you Mr. President.  What are we going to do about the collaborators in the Capital Police… https://t.co/BnsI7hqSuR,1347483787278626816,0
84,RT @JoeBiden: We need to deliver immediate relief for the American people and build our economy back better than ever. Tune in as I introdu…,1347483782560047108,1
85,"RT @brandon_r_horan: @JoeBiden 1: Was the perpetrator Muslim?
A) Yes. Travel ban
B) No. Go to 2

2: Hispanic?
A) Yes. Build a wall
B) No. G…",1347483781742161920,0
88,RT @JoeBiden: 50 days until we make history and can call @KamalaHarris Madam Vice President. https://t.co/bozdb0szND,1347483768999837696,0
89,"RT @JohnnyF57952763: @tribelaw @RexDoctor @JoeBiden I guess we won't be ""turning the page and looking forward for the good of the country"".…",1347483755770904576,1
92,RT @Frank16692317: @JoeBiden The same story happened in my country's presidential election about 11 years ago.We never forget that @BarackO…,1347483742860791809,0
93,"RT @JoeBiden: Today, I was proud to announce key nominations and appointments for critical economic positions in the Biden-Harris administr…",1347483742110179328,1
97,@JoeBiden And once again you are putting white vs black here.. you like @BarackObama want racial division.,1347483735378309122,-1
99,RT @JoeBiden: We’re facing the worst economic crisis since the Great Depression — and Americans need immediate relief. Tune in for a discus…,1347483725928538115,0
